#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value


#Text=É sempre bom preparar lanches saudáveis com antecedência para quando você for ficar fora de casa por muito tempo. Algumas sugestões são frutas (frescas, secas ou preparadas em potinhos), barrinhas de cereal, mix de nozes, cenourinhas e biscoitos integrais. Lembre de não levar alimentos que precisem de refrigeração, pois eles podem comeaçar a estragar no meio do caminho. E não se esqueça da água!
1-1	0-1	É	_	
1-2	2-8	sempre	_	
1-3	9-12	bom	_	
1-4	13-21	preparar	_	
1-5	22-29	lanches	_	
1-6	30-39	saudáveis	_	
1-7	40-43	com	_	
1-8	44-56	antecedência	_	
1-9	57-61	para	_	
1-10	62-68	quando	_	
1-11	69-73	você	_	
1-12	74-77	for	_	
1-13	78-83	ficar	_	
1-14	84-88	fora	_	
1-15	89-91	de	_	
1-16	92-96	casa	_	
1-17	97-100	por	_	
1-18	101-106	muito	_	
1-19	107-112	tempo	_	
1-20	112-113	.	_	
1-21	114-121	Algumas	_	
1-22	122-131	sugestões	_	
1-23	132-135	são	_	
1-24	136-142	frutas	_	
1-25	143-144	(	_	
1-26	144-151	frescas	_	
1-27	151-152	,	_	
1-28	153-158	secas	_	
1-29	159-161	ou	_	
1-30	162-172	preparadas	_	
1-31	173-175	em	_	
1-32	176-184	potinhos	_	
1-33	184-185	)	_	
1-34	185-186	,	_	
1-35	187-196	barrinhas	Food[1]	
1-36	197-199	de	Food[1]	
1-37	200-206	cereal	Food[1]	
1-38	206-207	,	_	
1-39	208-211	mix	Food[2]	
1-40	212-214	de	Food[2]	
1-41	215-220	nozes	Food[2]	
1-42	220-221	,	_	
1-43	222-233	cenourinhas	Food	
1-44	234-235	e	_	
1-45	236-245	biscoitos	Food[3]	
1-46	246-255	integrais	Food[3]	
1-47	255-256	.	_	
1-48	257-263	Lembre	_	
1-49	264-266	de	_	
1-50	267-270	não	_	
1-51	271-276	levar	_	
1-52	277-286	alimentos	_	
1-53	287-290	que	_	
1-54	291-299	precisem	_	
1-55	300-302	de	_	
1-56	303-315	refrigeração	_	
1-57	315-316	,	_	
1-58	317-321	pois	_	
1-59	322-326	eles	_	
1-60	327-332	podem	_	
1-61	333-341	comeaçar	_	
1-62	342-343	a	_	
1-63	344-352	estragar	_	
1-64	353-355	no	_	
1-65	356-360	meio	_	
1-66	361-363	do	_	
1-67	364-371	caminho	_	
1-68	371-372	.	_	
1-69	373-374	E	_	
1-70	375-378	não	_	
1-71	379-381	se	_	
1-72	382-389	esqueça	_	
1-73	390-392	da	_	
1-74	393-397	água	_	
1-75	397-398	!	_	
